author,affiliation,stakeholder_type,overall_position,tone,source_file
"Unknown (Government of India, Ministry of Corporate Affairs)","Government of India, Ministry of Corporate Affairs / Central Registration Centre",N/A,unclear,"N/A - Official government document, not a comment letter",00008_s7202620-816519-2486611.pdf.pdf
Katya Malinova and Andreas Park,McMaster University (DeGroote School of Business) and University of Toronto; APIA Scholar consultancy,Academic Researchers / Market Microstructure Economists,support,"Analytical, measured, cautiously supportive with substantive caveats; scholarly and evidence-based",00011_s7202620-820899-2503568.pdf.pdf
Bernard McDevitt,FCF Securities and Derivatives LLC (d/b/a FOG Equities LLC),Broker-Dealer / Market Intermediary,mixed,Constructive and cautionary; formally respectful but urgently warning of unintended consequences,00015_s7202620-827579-2531957.pdf.pdf
Division of Trading and Markets,U.S. Securities and Exchange Commission,Regulator/Government Agency,unclear,"neutral, analytical, data-driven",00017_s7202620-831659-2544033.pdf.pdf
"Jeff Martinez, CRPC®",Treveri Capital LLC (Founder and Financial Advisor); former electronic floor broker at the Pacific Exchange; former Vice President of Sales at a major wirehouse,Registered Investment Adviser / Retail Financial Advisor,mixed,"Analytical, measured, and constructive; critical of the proposed rescission while acknowledging the validity of the SEC's diagnosis; respectful but firm in opposition to the remedy",00018_s7202620-840359-2568811.pdf.pdf
Michael Ravnitzky,"Individual (Silver Spring, Maryland)",Individual/Academic Observer,mixed,"Analytical, measured, constructive, technically rigorous",00020_s7202620-842399-2579842.pdf.pdf
Joe Lee,None (Retail Investor),Retail Investor,oppose,"Respectful, concerned, cautious",00001_Comments_of_joe_lee.html
Scott S,Unknown - Retail Investor (presumed),retail_investor,oppose,"hostile, emotional, confrontational, profane",00002_Comments_of_Scott_S.html
Mary Smith,Individual Retail Investor,retail_investor,oppose,"concerned, assertive, protective of retail investor interests",00004_Comments_of_Mary.html
Fardeen Irani,Individual (no institutional affiliation stated),Individual Retail Investor / Market Structure Commentator,mixed,"Analytical, technically sophisticated, cautiously supportive of deregulation with strong caveats, reform-oriented",00005_Comments_of_Fardeen_Irani.html
Timothy Ryan McCormack,Unknown/Individual,Individual/Retail Public,unclear,"informal, tangential, non-substantive",00006_Comments_of_Timothy_Ryan_McCormack.html
Unknown/Unclear,"US State Government Agencies, Telemetry (unverified)",unclear,unclear,incoherent,00007_Comments_of_US_State_Government_Agencies_Telemetry.html
Alex Zislin,Individual Retail Investor,retail_investor,oppose,"concerned, direct, brief",00008_Comments_of_Alex_Zislin.html
Alex Zislin,Individual retail investor,Retail Investor,oppose,"Concerned, direct, brief",00009_Comments_of_Alex_Zislin.html
Donald Barry Smith Jr,None (Individual Retail Investor),retail_investor,oppose,"adversarial, skeptical, populist, informal",00009_Comments_of_Donald_Barry_Smith_Jr.html
Donald Barry Smith Jr,None (Individual Retail Investor),Retail Investor / Individual,oppose,"Skeptical, adversarial, populist, informal",00010_Comments_of_Donald_Barry_Smith_Jr.html
Professor DR WISITH TUN-YHONG,Unknown/Not specified,Academic (self-identified),unclear,"Deferential, incoherent, apologetic, rambling",00010_Comments_of_Professor_DR_WISITH_TUN-YHONG.html
Jared Albert,Individual Retail Investor / Lit Exchange Liquidity Provider,Retail Investor / Individual,oppose,"Highly adversarial, emotionally charged, repetitive, urgent, accusatory",00011_Comments_of_Jared_Albert.html
Joe Kirchner,Individual (unaffiliated),Individual Retail Investor / Public Commenter,oppose,"Formal, analytical, cautionary, respectful but firm",00012_Comments_of_Joe_Kirchner.html
Professor DR WISITH TUN-YHONG,Unknown/Unspecified,Individual/Academic (unverified),unclear,"incoherent, deferential, apologetic, rambling",00012_Comments_of_Professor_DR_WISITH_TUN-YHONG.html
Fardeen Irani,Individual (unaffiliated),Individual Retail Investor / Market Structure Commentator,mixed,"Analytical, technically sophisticated, cautiously supportive of deregulation with strong caveats, reform-oriented",00013_Comments_of_fardeen_irani.html
Jared Albert,Individual Retail Investor / Lit Market Participant,Retail Investor / Individual,oppose,"Highly adversarial, emotionally charged, repetitive, urgent, accusatory",00013_Comments_of_Jared_Albert.html
Joe Kirchner,Individual (no organizational affiliation stated),Individual Retail Investor / Concerned Citizen,oppose,"Formal, analytical, cautionary, respectful but firm",00014_Comments_of_Joe_Kirchner.html
@thecryptohulk,YouTube content creator,retail_individual,unclear,"enthusiastic, advocacy-oriented, non-technical",00014_Comments_of_thecryptohulk_YouTube.html
"Thomas W. Brink, MD",Individual Retail Investor (Medical Doctor),retail_investor,oppose,"strongly opposed, emotional, populist",00015_Comments_of_Thomas_W._Brink_MD.html
Fardeen Irani,Individual (unaffiliated),Individual Commenter / Retail Investor Advocate,mixed,"Analytical, technically sophisticated, cautiously supportive of deregulation with strong conditional caveats",00016_Comments_of_fardeen_irani.html
Steven Haworth,None (Individual Retail Investor),Retail Investor,oppose,"Informal, colloquial, dismissive",00016_Comments_of_Steven_Haworth.html
Bhavith S,Individual Retail Investor,retail_investor,oppose,"concerned, assertive, protective of retail interests",00017_Comments_of_Bhavith_S.html
@thecryptohulk,YouTube content creator,retail_individual,unclear,"enthusiastic, advocacy-driven, non-technical, urgent",00019_Comments_of_thecryptohulk_YouTube.html
"Thomas W. Brink, MD",Individual Retail Investor (Medical Doctor),retail_investor,oppose,"strongly opposed, emotional, populist",00021_Comments_of_Thomas_W._Brink_MD.html
Steven Haworth,None (Individual Retail Investor),Retail Investor,oppose,"Informal, colloquial, dismissive",00022_Comments_of_Steven_Haworth.html
Bhavith S,None (Individual Retail Investor),retail_investor,oppose,"concerned, assertive, protective of retail interests",00023_Comments_of_Bhavith_S.html
